week 0.00050399446937145057;
wrote 0.00181754704961501986;
good 0.00086531726216712156;
paper 0.00090877352480750993;
chairman 0.00103477214215037263;
becom 0.00051738607107518631;
associ 0.00090877352480750993;
competit 0.00028843908738904048;
note 0.00090877352480750993;
scupper 0.00090877352480750993;
probe 0.00181754704961501986;
return 0.00028843908738904048;
design 0.00090877352480750993;
build 0.00090877352480750993;
progress 0.00181754704961501986;
night 0.00090877352480750993;
labour 0.00817896172326759013;
sunday 0.00090877352480750993;
offic 0.00181754704961501986;
second 0.00012599861734286264;
talk 0.00155215821322555927;
sinc 0.00028843908738904048;
increas 0.00057687817477808097;
delet 0.00454386762403754998;
cash 0.00181754704961501986;
test 0.00090877352480750993;
drink 0.00727018819846007944;
hundr 0.00090877352480750993;
ruth 0.00090877352480750993;
parliament 0.00090877352480750993;
credit 0.00090877352480750993;
attend 0.00090877352480750993;
memori 0.00090877352480750993;
scienc 0.00545264114884506067;
femal 0.00090877352480750993;
yet 0.00103477214215037263;
gidley 0.00090877352480750993;
six 0.00151198340811435194;
construct 0.00090877352480750993;
result 0.00057687817477808097;
limit 0.00103477214215037263;
nine 0.00272632057442253033;
news 0.00051738607107518631;
assum 0.00090877352480750993;
consum 0.00090877352480750993;
domin 0.00057687817477808097;
creditor 0.00090877352480750993;
ireland 0.00090877352480750993;
coastal 0.00090877352480750993;
dead 0.00090877352480750993;
preach 0.00090877352480750993;
nazi 0.00181754704961501986;
question 0.00090877352480750993;
theresa 0.00090877352480750993;
scientist 0.00090877352480750993;
former 0.00012599861734286264;
find 0.00272632057442253033;
symbol 0.00181754704961501986;
accord 0.00103477214215037263;
professor 0.00090877352480750993;
sandra 0.00090877352480750993;
insult 0.00090877352480750993;
annual 0.00181754704961501986;
came 0.00051738607107518631;
sir 0.00545264114884506067;
stagger 0.00090877352480750993;
for 0.00103477214215037263;
two 0.00012599861734286264;
expert 0.00051738607107518631;
rid 0.00090877352480750993;
high 0.00012599861734286264;
law 0.00206954428430074526;
queen 0.00181754704961501986;
doubl 0.00051738607107518631;
brightest 0.00181754704961501986;
taken 0.00155215821322555927;
gener 0.00181754704961501986;
okay 0.00090877352480750993;
deal 0.00454386762403754998;
foreign 0.00258693035537593168;
bid 0.00090877352480750993;
instead 0.00090877352480750993;
thi 0.00051738607107518631;
inspector 0.00090877352480750993;
graduat 0.00090877352480750993;
stream 0.00090877352480750993;
elect 0.00363509409923003972;
shadow 0.00181754704961501986;
young 0.00173063452433424312;
level 0.00090877352480750993;
conven 0.00090877352480750993;
spark 0.00051738607107518631;
work 0.00288439087389040462;
father 0.00181754704961501986;
reconstruct 0.00090877352480750993;
reform 0.00090877352480750993;
word 0.00181754704961501986;
three 0.00012599861734286264;
stress 0.00181754704961501986;
spin 0.00090877352480750993;
specul 0.00090877352480750993;
furiou 0.00090877352480750993;
ball 0.00272632057442253033;
announc 0.00173063452433424312;
bodi 0.00103477214215037263;
support 0.00103477214215037263;
bet 0.00090877352480750993;
firm 0.00103477214215037263;
center 0.00090877352480750993;
opportun 0.00272632057442253033;
tragedi 0.00090877352480750993;
hamish 0.00090877352480750993;
whatev 0.00090877352480750993;
help 0.00115375634955616193;
the 0.00390595713762874244;
women 0.01363160287211264907;
dismiss 0.00090877352480750993;
select 0.00028843908738904048;
repres 0.00181754704961501986;
organis 0.00090877352480750993;
wealthi 0.00090877352480750993;
properli 0.00090877352480750993;
immedi 0.00090877352480750993;
simon 0.00090877352480750993;
urg 0.00090877352480750993;
economi 0.00090877352480750993;
school 0.00206954428430074526;
instanc 0.00090877352480750993;
read 0.00090877352480750993;
dem 0.00181754704961501986;
chosen 0.00090877352480750993;
across 0.00103477214215037263;
treasuri 0.00090877352480750993;
trade 0.00363509409923003972;
actual 0.00090877352480750993;
babi 0.00090877352480750993;
principl 0.00090877352480750993;
cost 0.00173063452433424312;
simpl 0.00090877352480750993;
outset 0.00090877352480750993;
flexibl 0.00090877352480750993;
obvious 0.00090877352480750993;
choos 0.00051738607107518631;
blow 0.00090877352480750993;
highland 0.00272632057442253033;
wiesenth 0.00090877352480750993;
alcohol 0.00181754704961501986;
qualif 0.00181754704961501986;
cbi 0.00090877352480750993;
gather 0.00181754704961501986;
chancellor 0.00545264114884506067;
chanc 0.00051738607107518631;
incom 0.00090877352480750993;
prudent 0.00090877352480750993;
system 0.00051738607107518631;
biggest 0.00051738607107518631;
beyond 0.00103477214215037263;
tuesday 0.00090877352480750993;
period 0.00090877352480750993;
servic 0.00155215821322555927;
world 0.00012599861734286264;
decemb 0.00181754704961501986;
econom 0.00363509409923003972;
misrepres 0.00090877352480750993;
tsunami 0.00090877352480750993;
recruit 0.00181754704961501986;
told 0.00230751269911232387;
concern 0.00362170249752630452;
today 0.00181754704961501986;
thoma 0.00272632057442253033;
jack 0.00363509409923003972;
made 0.00037799585202858798;
democrat 0.00272632057442253033;
half 0.00090877352480750993;
bing 0.00454386762403754998;
statistician 0.00090877352480750993;
budget 0.00272632057442253033;
prospect 0.00090877352480750993;
day 0.00051738607107518631;
attempt 0.00028843908738904048;
monitor 0.00090877352480750993;
aim 0.00103477214215037263;
anoth 0.00051738607107518631;
commission 0.00181754704961501986;
small 0.00090877352480750993;
employ 0.00090877352480750993;
similar 0.00090877352480750993;
averag 0.00181754704961501986;
spokeswoman 0.00181754704961501986;
sexism 0.00363509409923003972;
ratifi 0.00090877352480750993;
consult 0.00090877352480750993;
advic 0.00090877352480750993;
student 0.00090877352480750993;
extend 0.00545264114884506067;
legitim 0.00090877352480750993;
monday 0.00181754704961501986;
academ 0.00090877352480750993;
accommod 0.00090877352480750993;
abil 0.00090877352480750993;
stand 0.00090877352480750993;
hi 0.00272632057442253033;
someon 0.00090877352480750993;
area 0.00090877352480750993;
unlik 0.00090877352480750993;
literaci 0.00090877352480750993;
hope 0.00037799585202858798;
toni 0.00363509409923003972;
beith 0.00272632057442253033;
grade 0.00090877352480750993;
great 0.00090877352480750993;
staff 0.00090877352480750993;
idea 0.00057687817477808097;
go 0.00025199723468572529;
comfort 0.00090877352480750993;
includ 0.00037799585202858798;
distort 0.00181754704961501986;
recept 0.00090877352480750993;
qualit 0.00090877352480750993;
busi 0.00051738607107518631;
hewitt 0.00727018819846007944;
pace 0.00181754704961501986;
80p 0.00090877352480750993;
shame 0.00090877352480750993;
record 0.00103477214215037263;
branch 0.00051738607107518631;
trail 0.00090877352480750993;
hold 0.00057687817477808097;
hous 0.00028843908738904048;
forc 0.00086531726216712156;
mr 0.00090877352480750993;
assur 0.00090877352480750993;
length 0.00090877352480750993;
jewish 0.00090877352480750993;
human 0.00090877352480750993;
seriou 0.00090877352480750993;
ground 0.00090877352480750993;
they 0.00028843908738904048;
polici 0.00103477214215037263;
aggriev 0.00090877352480750993;
jone 0.00090877352480750993;
cover 0.00181754704961501986;
segreg 0.00090877352480750993;
subject 0.00363509409923003972;
stupid 0.00090877352480750993;
blackpool 0.00454386762403754998;
continu 0.00028843908738904048;
holyrood 0.00090877352480750993;
editor 0.00090877352480750993;
new 0.00138598479077148913;
alreadi 0.00115375634955616193;
confid 0.00090877352480750993;
chri 0.00090877352480750993;
respons 0.00115375634955616193;
newspap 0.00051738607107518631;
richard 0.00028843908738904048;
suitabl 0.00090877352480750993;
even 0.00012599861734286264;
total 0.00051738607107518631;
add 0.00090877352480750993;
blown 0.00090877352480750993;
compromis 0.00090877352480750993;
poland 0.00090877352480750993;
ad 0.00103477214215037263;
wiser 0.00090877352480750993;
skill 0.00363509409923003972;
effect 0.00090877352480750993;
nation 0.00413908856860149051;
way 0.00057687817477808097;
spring 0.00090877352480750993;
politician 0.00090877352480750993;
harm 0.00181754704961501986;
retent 0.00090877352480750993;
plan 0.00176398064280007712;
right 0.00230751269911232387;
cabinet 0.00181754704961501986;
statutori 0.00090877352480750993;
qca 0.00090877352480750993;
complet 0.00181754704961501986;
accept 0.00090877352480750993;
said 0.00440995160700019279;
intern 0.00012599861734286264;
appeal 0.00090877352480750993;
prevent 0.00115375634955616193;
autumn 0.00181754704961501986;
stereotyp 0.00090877352480750993;
contain 0.00090877352480750993;
scotsman 0.00090877352480750993;
recycl 0.00090877352480750993;
tori 0.00363509409923003972;
lot 0.00103477214215037263;
curriculum 0.00090877352480750993;
justifi 0.00090877352480750993;
price 0.00090877352480750993;
contribut 0.00051738607107518631;
lock 0.00090877352480750993;
current 0.00115375634955616193;
bound 0.00090877352480750993;
wale 0.00090877352480750993;
encourag 0.00181754704961501986;
costum 0.00090877352480750993;
reason 0.00028843908738904048;
revert 0.00090877352480750993;
forward 0.00103477214215037263;
destroy 0.00181754704961501986;
think 0.00230751269911232387;
mess 0.00090877352480750993;
photograph 0.00090877352480750993;
michael 0.00181754704961501986;
philip 0.00090877352480750993;
lay 0.00090877352480750993;
seen 0.00155215821322555927;
nicola 0.00090877352480750993;
repay 0.00090877352480750993;
tri 0.00057687817477808097;
attent 0.00103477214215037263;
career 0.00090877352480750993;
comment 0.00363509409923003972;
edward 0.00090877352480750993;
closest 0.00090877352480750993;
fund 0.00086531726216712156;
depart 0.00181754704961501986;
advertis 0.00090877352480750993;
margin 0.00090877352480750993;
fiscal 0.00090877352480750993;
intellig 0.00090877352480750993;
meet 0.00206954428430074526;
criticis 0.00181754704961501986;
bite 0.00090877352480750993;
gap 0.00181754704961501986;
bank 0.00103477214215037263;
whether 0.00090877352480750993;
warn 0.00086531726216712156;
withdraw 0.00090877352480750993;
tomlinson 0.00363509409923003972;
structur 0.00090877352480750993;
thing 0.00310431642645111854;
next 0.00050399446937145057;
industri 0.00206954428430074526;
fail 0.00028843908738904048;
britain 0.00206954428430074526;
lead 0.00028843908738904048;
urgent 0.00090877352480750993;
believ 0.00144219543694520231;
wrong 0.00090877352480750993;
briton 0.00181754704961501986;
real 0.00103477214215037263;
amaz 0.00090877352480750993;
analysi 0.00090877352480750993;
furor 0.00090877352480750993;
other 0.00155215821322555927;
guidanc 0.00181754704961501986;
cultur 0.00181754704961501986;
educ 0.00454386762403754998;
mechan 0.00090877352480750993;
divert 0.00181754704961501986;
hutton 0.00090877352480750993;
thursday 0.00090877352480750993;
access 0.00051738607107518631;
allow 0.00057687817477808097;
expect 0.00062999308671431327;
like 0.00086531726216712156;
sturgeon 0.00090877352480750993;
stay 0.00051738607107518631;
hotel 0.00272632057442253033;
compani 0.00103477214215037263;
statement 0.00090877352480750993;
barri 0.00090877352480750993;
judg 0.00090877352480750993;
david 0.00103477214215037263;
figur 0.00090877352480750993;
went 0.00028843908738904048;
strength 0.00090877352480750993;
retir 0.00090877352480750993;
break 0.00051738607107518631;
giveaway 0.00090877352480750993;
prime 0.00090877352480750993;
ancram 0.00090877352480750993;
deploy 0.00090877352480750993;
accus 0.00181754704961501986;
lord 0.00090877352480750993;
univers 0.00181754704961501986;
thought 0.00057687817477808097;
must 0.00051738607107518631;
extra 0.00363509409923003972;
promot 0.00181754704961501986;
freedom 0.00454386762403754998;
got 0.00155215821322555927;
strongli 0.00090877352480750993;
all 0.00090877352480750993;
crass 0.00090877352480750993;
differenti 0.00090877352480750993;
workforc 0.00090877352480750993;
case 0.00051738607107518631;
one 0.00037799585202858798;
regret 0.00090877352480750993;
and 0.00057687817477808097;
manchest 0.00454386762403754998;
chief 0.00086531726216712156;
higher 0.00090877352480750993;
patricia 0.00181754704961501986;
germani 0.00090877352480750993;
also 0.00163798202545721453;
childcar 0.00090877352480750993;
given 0.00051738607107518631;
reimburs 0.00090877352480750993;
alan 0.00051738607107518631;
sort 0.00090877352480750993;
borrow 0.00090877352480750993;
sector 0.00051738607107518631;
inform 0.00908773524807509996;
radio 0.00181754704961501986;
stabil 0.00363509409923003972;
kelli 0.00090877352480750993;
northern 0.00090877352480750993;
60th 0.00090877352480750993;
want 0.00050399446937145057;
success 0.00028843908738904048;
book 0.00028843908738904048;
prioriti 0.00090877352480750993;
command 0.00090877352480750993;
pictur 0.00051738607107518631;
liber 0.00363509409923003972;
desper 0.00181754704961501986;
spend 0.00115375634955616193;
suspend 0.00090877352480750993;
recognit 0.00090877352480750993;
outrag 0.00090877352480750993;
year 0.00075599170405717597;
bbc 0.00181754704961501986;
drank 0.00090877352480750993;
chose 0.00090877352480750993;
foolishli 0.00090877352480750993;
decis 0.00103477214215037263;
drive 0.00090877352480750993;
leav 0.00258693035537593168;
written 0.00090877352480750993;
replac 0.00103477214215037263;
particip 0.00051738607107518631;
affair 0.00090877352480750993;
realli 0.00155215821322555927;
exist 0.00103477214215037263;
previou 0.00012599861734286264;
home 0.00012599861734286264;
hate 0.00090877352480750993;
govern 0.00163798202545721453;
interest 0.00057687817477808097;
known 0.00090877352480750993;
could 0.00088199032140003856;
worri 0.00051738607107518631;
crimin 0.00051738607107518631;
scottish 0.00363509409923003972;
appropri 0.00090877352480750993;
follow 0.00057687817477808097;
toward 0.00090877352480750993;
ministeri 0.00090877352480750993;
destruct 0.00181754704961501986;
publicis 0.00090877352480750993;
put 0.00173063452433424312;
head 0.00028843908738904048;
month 0.00317282996127944521;
parent 0.00181754704961501986;
mcconnel 0.00454386762403754998;
say 0.00374970813605752682;
block 0.00090877352480750993;
british 0.00025199723468572529;
spent 0.00090877352480750993;
lack 0.00090877352480750993;
form 0.00051738607107518631;
disappoint 0.00090877352480750993;
someth 0.00181754704961501986;
male 0.00181754704961501986;
founder 0.00051738607107518631;
content 0.00181754704961501986;
seasid 0.00090877352480750993;
million 0.00155215821322555927;
bore 0.00090877352480750993;
marvin 0.00090877352480750993;
holocaust 0.00181754704961501986;
review 0.00051738607107518631;
countri 0.00086531726216712156;
februari 0.00090877352480750993;
conduct 0.00090877352480750993;
vocat 0.00181754704961501986;
some 0.00090877352480750993;
harri 0.00090877352480750993;
name 0.00051738607107518631;
brighton 0.00090877352480750993;
rotat 0.00090877352480750993;
committe 0.00727018819846007944;
express 0.00181754704961501986;
term 0.00155215821322555927;
reject 0.00090877352480750993;
financ 0.00090877352480750993;
pay 0.00620863285290223707;
later 0.00103477214215037263;
media 0.00028843908738904048;
common 0.00181754704961501986;
well 0.00012599861734286264;
implic 0.00090877352480750993;
integr 0.00090877352480750993;
blair 0.00363509409923003972;
salari 0.00090877352480750993;
man 0.00090877352480750993;
send 0.00090877352480750993;
state 0.00155215821322555927;
agreement 0.00090877352480750993;
pillori 0.00090877352480750993;
end 0.00090877352480750993;
earn 0.00181754704961501986;
journalist 0.00090877352480750993;
offici 0.00028843908738904048;
director 0.00025199723468572529;
candid 0.00090877352480750993;
third 0.00051738607107518631;
gcse 0.00181754704961501986;
concentr 0.00090877352480750993;
equal 0.00155215821322555927;
agre 0.00028843908738904048;
step 0.00057687817477808097;
princ 0.00363509409923003972;
smaller 0.00028843908738904048;
kill 0.00051738607107518631;
damag 0.00051738607107518631;
brought 0.00051738607107518631;
rate 0.00272632057442253033;
major 0.00057687817477808097;
feel 0.00272632057442253033;
post 0.00090877352480750993;
westminst 0.00090877352480750993;
math 0.00181754704961501986;
ask 0.00051738607107518631;
acknowledg 0.00090877352480750993;
mother 0.00454386762403754998;
measur 0.00090877352480750993;
messag 0.00057687817477808097;
panel 0.00090877352480750993;
teenag 0.00090877352480750993;
field 0.00090877352480750993;
order 0.00181754704961501986;
make 0.00025199723468572529;
deliv 0.00090877352480750993;
fight 0.00051738607107518631;
strain 0.00090877352480750993;
exact 0.00090877352480750993;
brief 0.00090877352480750993;
leader 0.00103477214215037263;
interview 0.00090877352480750993;
class 0.00181754704961501986;
pound 0.00181754704961501986;
closer 0.00090877352480750993;
deni 0.00090877352480750993;
repeatedli 0.00090877352480750993;
gender 0.00181754704961501986;
boost 0.00028843908738904048;
peopl 0.00100798893874290115;
commemor 0.00181754704961501986;
polit 0.00272632057442253033;
anthoni 0.00090877352480750993;
dure 0.00090877352480750993;
report 0.00086531726216712156;
handl 0.00090877352480750993;
last 0.00025199723468572529;
rectifi 0.00090877352480750993;
macdonel 0.00272632057442253033;
eoc 0.00090877352480750993;
resort 0.00090877352480750993;
advis 0.00181754704961501986;
outlin 0.00090877352480750993;
tackl 0.00272632057442253033;
held 0.00028843908738904048;
engin 0.00090877352480750993;
voluntari 0.00090877352480750993;
capabl 0.00090877352480750993;
goe 0.00090877352480750993;
parti 0.00908773524807509996;
cannot 0.00090877352480750993;
placatori 0.00090877352480750993;
full 0.00086531726216712156;
potenti 0.00028843908738904048;
recent 0.00012599861734286264;
get 0.00113398755608576374;
gordon 0.00363509409923003972;
tradit 0.00090877352480750993;
between 0.00090877352480750993;
brazenli 0.00090877352480750993;
back 0.00115375634955616193;
matter 0.00090877352480750993;
public 0.00144219543694520231;
postgradu 0.00090877352480750993;
save 0.00090877352480750993;
visit 0.00051738607107518631;
reach 0.00057687817477808097;
possibl 0.00090877352480750993;
predecessor 0.00090877352480750993;
doubt 0.00090877352480750993;
show 0.00012599861734286264;
shortag 0.00545264114884506067;
code 0.00090877352480750993;
rush 0.00090877352480750993;
first 0.00125998617342862654;
there 0.00012599861734286264;
partial 0.00090877352480750993;
secretari 0.00636141467365256962;
wider 0.00051738607107518631;
but 0.00088199032140003856;
remain 0.00028843908738904048;
reduc 0.00051738607107518631;
call 0.00057687817477808097;
judgement 0.00090877352480750993;
focu 0.00272632057442253033;
civil 0.00090877352480750993;
spoke 0.00090877352480750993;
speak 0.00363509409923003972;
undermin 0.00090877352480750993;
error 0.00090877352480750993;
serv 0.00090877352480750993;
job 0.00545264114884506067;
give 0.00155215821322555927;
import 0.00363509409923003972;
minist 0.00727018819846007944;
men 0.00181754704961501986;
demand 0.00051738607107518631;
wage 0.00090877352480750993;
spree 0.00272632057442253033;
chang 0.00103477214215037263;
rightli 0.00090877352480750993;
mirror 0.00090877352480750993;
counterpart 0.00090877352480750993;
quickli 0.00090877352480750993;
issu 0.00057687817477808097;
understand 0.00103477214215037263;
lost 0.00103477214215037263;
it 0.00028843908738904048;
canada 0.00090877352480750993;
hard 0.00103477214215037263;
join 0.00028843908738904048;
main 0.00086531726216712156;
technolog 0.00051738607107518631;
opinion 0.00090877352480750993;
bournemouth 0.00181754704961501986;
less 0.00057687817477808097;
seminar 0.00090877352480750993;
practic 0.00090877352480750993;
brown 0.00817896172326759013;
take 0.00062999308671431327;
detail 0.00181754704961501986;
mike 0.00181754704961501986;
earlier 0.00115375634955616193;
revenu 0.00090877352480750993;
explan 0.00090877352480750993;
monetari 0.00181754704961501986;
white 0.00090877352480750993;
easili 0.00090877352480750993;
offer 0.00028843908738904048;
debt 0.00181754704961501986;
mainli 0.00181754704961501986;
alli 0.00181754704961501986;
typic 0.00090877352480750993;
away 0.00051738607107518631;
face 0.00028843908738904048;
deepli 0.00090877352480750993;
glad 0.00181754704961501986;
mpc 0.00090877352480750993;
much 0.00050399446937145057;
liais 0.00090877352480750993;
disast 0.00090877352480750993;
constitut 0.00090877352480750993;
anniversari 0.00090877352480750993;
sign 0.00272632057442253033;
tempt 0.00090877352480750993;
posit 0.00051738607107518631;
suggest 0.00272632057442253033;
amid 0.00090877352480750993;
rise 0.00454386762403754998;
reveal 0.00090877352480750993;
watchdog 0.00090877352480750993;
variou 0.00051738607107518631;
rose 0.00090877352480750993;
still 0.00115375634955616193;
percentag 0.00090877352480750993;
favour 0.00090877352480750993;
predict 0.00051738607107518631;
rewrit 0.00090877352480750993;
tell 0.00090877352480750993;
problem 0.00115375634955616193;
propos 0.00636141467365256962;
drunk 0.00090877352480750993;
number 0.00051738607107518631;
choic 0.00051738607107518631;
whole 0.00181754704961501986;
improv 0.00051738607107518631;
ditch 0.00090877352480750993;
signific 0.00090877352480750993;
incur 0.00090877352480750993;
welcom 0.00090877352480750993;
everi 0.00057687817477808097;
independ 0.00090877352480750993;
money 0.00090877352480750993;
perish 0.00090877352480750993;
howard 0.00090877352480750993;
would 0.00251997234685725309;
insensit 0.00090877352480750993;
group 0.00057687817477808097;
see 0.00173063452433424312;
commiss 0.00103477214215037263;
colin 0.00090877352480750993;
